iter	Passed	Remaining
661	20484	10458
662	20505	10422
663	20527	10387
664	20548	10351
665	20569	10315
666	20589	10279
667	20610	10243
668	20631	10207
669	20651	10171
670	20673	10136
671	20695	10101
672	20716	10065
673	20737	10030
674	20758	9994
675	20778	9959
676	20798	9923
677	20819	9887
678	20841	9852
679	20862	9817
680	20920	9799
681	20974	9780
682	21020	9756
683	21047	9723
684	21068	9688
685	21085	9651
686	21106	9616
687	21127	9581
688	21149	9546
689	21169	9510
690	21190	9475
691	21211	9440
692	21233	9406
693	21255	9371
694	21277	9337
695	21300	9303
696	21322	9269
697	21343	9234
698	21364	9199
699	21385	9165
700	21406	9130
701	21426	9095
702	21447	9061
703	21468	9026
704	21489	8992
705	21511	8957
706	21531	8923
707	21552	8888
708	21572	8854
709	21593	8820
710	21615	8785
711	21635	8751
712	21656	8717
713	21679	8684
714	21700	8649
715	21721	8615
716	21742	8581
717	21763	8547
718	21784	8513
719	21804	8479
720	21825	8445
721	21846	8411
722	21868	8378
723	21888	8344
724	21909	8310
725	21930	8276
726	21951	8243
727	21972	8209
728	21994	8176
729	22014	8142
730	22035	8108
731	22058	8076
732	22083	8044
733	22106	8011
734	22128	7978
735	22149	7945
736	22172	7912
737	22194	7879
738	22216	7846
739	22237	7813
740	22260	7780
741	22282	7747
742	22305	7715
743	22326	7682
744	22348	7649
745	22368	7616
746	22389	7583
747	22412	7550
748	22436	7518
749	22459	7486
750	22482	7454
751	22505	7421
752	22527	7389
753	22548	7356
754	22570	7324
755	22591	7291
756	22612	7258
757	22633	7226
758	22654	7193
759	22677	7161
760	22698	7128
761	22719	7096
762	22740	7063
763	22761	7031
764	22782	6998
765	22803	6966
766	22824	6933
767	22845	6901
768	22869	6869
769	22893	6838
770	22916	6806
771	22938	6774
772	22962	6743
773	22984	6711
774	23006	6679
775	23028	6647
776	23050	6615
777	23072	6583
778	23094	6551
779	23118	6520
780	23140	6488
781	23162	6457
782	23184	6425
783	23209	6394
784	23234	6363
785	23257	6332
786	23280	6300
787	23305	6270
788	23330	6239
789	23353	6207
790	23375	6176
791	23397	6144
792	23420	6113
793	23443	6082
794	23465	6050
795	23487	6019
796	23510	5988
797	23533	5956
798	23557	5926
799	23584	5896
800	23608	5865
801	23633	5834
802	23656	5803
803	23679	5772
804	23704	5742
805	23725	5710
806	23747	5679
807	23768	5647
808	23789	5616
809	23811	5585
810	23829	5553
811	23851	5522
812	23874	5491
813	23895	5460
814	23918	5429
815	23941	5398
816	23963	5367
817	23985	5336
818	24008	5305
819	24035	5276
820	24061	5246
821	24087	5216
822	24112	5185
823	24134	5155
824	24157	5124
825	24178	5093
826	24200	5062
827	24225	5032
828	24251	5002
829	24276	4972
830	24301	4942
831	24325	4911
832	24350	4881
833	24372	4851
834	24394	4820
835	24417	4790
836	24440	4759
837	24463	4729
838	24485	4698
839	24506	4667
840	24529	4637
841	24551	4606
842	24572	4576
843	24593	4545
844	24614	4515
845	24638	4485
846	24664	4455
847	24688	4425
848	24700	4393
849	24724	4363
850	24748	4333
851	24770	4302
852	24791	4272
853	24812	4241
854	24836	4212
855	24858	4181
856	24879	4151
857	24900	4121
858	24921	4090
859	24943	4060
860	24968	4030
861	24989	4000
862	25010	3970
863	25031	3940
864	25051	3909
865	25072	3879
866	25093	3849
867	25113	3819
868	25134	3788
869	25155	3758
870	25176	3728
871	25197	3698
872	25218	3668
873	25240	3638
874	25262	3608
875	25284	3579
876	25306	3549
877	25326	3519
878	25347	3489
879	25368	3459
880	25393	3429
881	25414	3400
882	25435	3370
883	25456	3340
884	25479	3310
885	25504	3281
886	25527	3252
887	25548	3222
888	25572	3192
889	25595	3163
890	25616	3133
891	25637	3104
892	25660	3074
893	25682	3045
894	25702	3015
895	25724	2985
896	25747	2956
897	25770	2927
898	25794	2897
899	25818	2868
900	25843	2839
901	25866	2810
902	25891	2781
903	25915	2752
904	25936	2722
905	25957	2693
906	25979	2663
907	26000	2634
908	26021	2604
909	26042	2575
910	26063	2546
911	26085	2516
912	26107	2487
913	26128	2458
914	26149	2429
915	26170	2399
916	26191	2370
917	26212	2341
918	26235	2312
919	26256	2283
920	26278	2254
921	26300	2224
922	26321	2195
923	26342	2166
924	26362	2137
925	26384	2108
926	26405	2079
927	26426	2050
928	26448	2021
929	26469	1992
930	26489	1963
931	26510	1934
932	26531	1905
933	26552	1876
934	26573	1847
935	26593	1818
936	26614	1789
937	26638	1760
938	26660	1731
939	26684	1703
940	26755	1677
941	26822	1651
942	26845	1622
943	26891	1595
944	26911	1566
945	26932	1537
946	26952	1508
947	26973	1479
948	26996	1450
949	27017	1421
950	27039	1393
951	27060	1364
952	27081	1335
953	27102	1306
954	27122	1278
955	27143	1249
956	27164	1220
957	27184	1191
958	27205	1163
959	27227	1134
960	27249	1105
961	27272	1077
962	27294	1048
963	27315	1020
964	27337	991
965	27359	962
966	27381	934
967	27402	905
968	27423	877
969	27444	848
970	27468	820
971	27490	791
972	27511	763
973	27533	734
974	27554	706
975	27576	678
976	27597	649
977	27617	621
978	27639	592
979	27662	564
980	27684	536
981	27705	507
982	27725	479
983	27746	451
984	27768	422
985	27788	394
986	27809	366
987	27830	338
988	27851	309
989	27872	281
990	27893	253
991	27915	225
992	27936	196
993	27958	168
994	27980	140
995	28001	112
996	28023	84
997	28048	56
998	28073	28
999	28097	0
